,model_type,lr,Training Loss,Training Step,id,type
0,u-µP,2.8284271247461903,10.373541116714478,0,uwkkil6z,FP32
0,u-µP,2.8284271247461903,7.342358732223511,255,uwkkil6z,FP32
0,u-µP,2.8284271247461903,4.852794821374118,511,uwkkil6z,FP32
0,u-µP,2.8284271247461903,4.181010332889855,767,uwkkil6z,FP32
0,u-µP,2.8284271247461903,3.872496785130352,1023,uwkkil6z,FP32
0,u-µP,2.8284271247461903,3.767851880984381,1279,uwkkil6z,FP32
0,u-µP,2.8284271247461903,3.680357796838507,1535,uwkkil6z,FP32
0,u-µP,2.8284271247461903,3.59290619706735,1791,uwkkil6z,FP32
0,u-µP,2.8284271247461903,3.5300973975099623,2047,uwkkil6z,FP32
0,u-µP,2.8284271247461903,3.4631219080183655,2303,uwkkil6z,FP32
0,u-µP,2.8284271247461903,3.395369289442897,2559,uwkkil6z,FP32
0,u-µP,2.8284271247461903,3.337623278843239,2815,uwkkil6z,FP32
0,u-µP,2.8284271247461903,3.305927762296051,3071,uwkkil6z,FP32
0,u-µP,2.8284271247461903,3.2888833808247,3327,uwkkil6z,FP32
0,u-µP,2.8284271247461903,3.213955143466592,3583,uwkkil6z,FP32
0,u-µP,2.8284271247461903,3.1834508571773767,3839,uwkkil6z,FP32
0,u-µP,2.8284271247461903,3.164597157156095,4095,uwkkil6z,FP32
0,u-µP,2.8284271247461903,3.1330393662210554,4351,uwkkil6z,FP32
0,u-µP,2.8284271247461903,3.095133301569149,4607,uwkkil6z,FP32
0,u-µP,2.8284271247461903,3.056299030315131,4863,uwkkil6z,FP32
0,u-µP,2.8284271247461903,3.0507075442001224,5119,uwkkil6z,FP32
0,u-µP,2.8284271247461903,3.0249404567293823,5375,uwkkil6z,FP32
0,u-µP,2.8284271247461903,2.98105306760408,5631,uwkkil6z,FP32
0,u-µP,2.8284271247461903,2.9621412032283843,5887,uwkkil6z,FP32
0,u-µP,2.8284271247461903,2.924812897341326,6143,uwkkil6z,FP32
0,u-µP,2.8284271247461903,2.9046741630882025,6399,uwkkil6z,FP32
0,u-µP,2.8284271247461903,2.8843434513546526,6655,uwkkil6z,FP32
0,u-µP,2.8284271247461903,2.883667035261169,6911,uwkkil6z,FP32
0,u-µP,2.8284271247461903,2.85811422416009,7167,uwkkil6z,FP32
0,u-µP,2.8284271247461903,2.842406963231042,7423,uwkkil6z,FP32
0,u-µP,2.8284271247461903,2.8158349983859807,7679,uwkkil6z,FP32
0,u-µP,2.8284271247461903,2.821519857738167,7935,uwkkil6z,FP32
0,u-µP,2.8284271247461903,2.818098383722827,8191,uwkkil6z,FP32
1,u-µP,2.8284271247461903,10.37313675880432,0,c0p2c5xn,FP8
1,u-µP,2.8284271247461903,7.345371405751098,255,c0p2c5xn,FP8
1,u-µP,2.8284271247461903,4.86153898970224,511,c0p2c5xn,FP8
1,u-µP,2.8284271247461903,4.18822636641562,767,c0p2c5xn,FP8
1,u-µP,2.8284271247461903,3.8811893397942185,1023,c0p2c5xn,FP8
1,u-µP,2.8284271247461903,3.7768556750379503,1279,c0p2c5xn,FP8
1,u-µP,2.8284271247461903,3.689614398172125,1535,c0p2c5xn,FP8
1,u-µP,2.8284271247461903,3.6002052933909,1791,c0p2c5xn,FP8
1,u-µP,2.8284271247461903,3.539428648306057,2047,c0p2c5xn,FP8
1,u-µP,2.8284271247461903,3.473304198589176,2303,c0p2c5xn,FP8
1,u-µP,2.8284271247461903,3.4067273244727403,2559,c0p2c5xn,FP8
1,u-µP,2.8284271247461903,3.350671565392986,2815,c0p2c5xn,FP8
1,u-µP,2.8284271247461903,3.318395533598959,3071,c0p2c5xn,FP8
1,u-µP,2.8284271247461903,3.302283118013293,3327,c0p2c5xn,FP8
1,u-µP,2.8284271247461903,3.2275656822603196,3583,c0p2c5xn,FP8
1,u-µP,2.8284271247461903,3.197346653556451,3839,c0p2c5xn,FP8
1,u-µP,2.8284271247461903,3.178933331510052,4095,c0p2c5xn,FP8
